postcodeLeerlingen,schoolNaam,aantalLeerlingen
5076,Herman Broerenschool,1
5142,Herman Broerenschool,1
5144,Herman Broerenschool,1
5151,Herman Broerenschool,3
5152,Herman Broerenschool,1
5211,Herman Broerenschool,3
5212,Herman Broerenschool,4
5213,Herman Broerenschool,7
5215,Herman Broerenschool,3
5216,Herman Broerenschool,7
5221,Herman Broerenschool,3
5223,Herman Broerenschool,11
5224,Herman Broerenschool,11
5231,Herman Broerenschool,14
5233,Herman Broerenschool,3
5235,Herman Broerenschool,4
5236,Herman Broerenschool,2
5237,Herman Broerenschool,6
5241,Herman Broerenschool,5
5243,Herman Broerenschool,3
5244,Herman Broerenschool,11
5245,Herman Broerenschool,2
5246,Herman Broerenschool,2
5247,Herman Broerenschool,6
5249,Herman Broerenschool,1
5251,Herman Broerenschool,1
5253,Herman Broerenschool,1
5254,Herman Broerenschool,2
5256,Herman Broerenschool,3
5258,Herman Broerenschool,5
5261,Herman Broerenschool,2
5262,Herman Broerenschool,3
5263,Herman Broerenschool,1
5268,Herman Broerenschool,1
5271,Herman Broerenschool,2
5272,Herman Broerenschool,1
5283,Herman Broerenschool,5
5301,Herman Broerenschool,4
5302,Herman Broerenschool,2
5305,Herman Broerenschool,1
5306,Herman Broerenschool,1
5321,Herman Broerenschool,3
5324,Herman Broerenschool,1
5325,Herman Broerenschool,1
5328,Herman Broerenschool,2
5331,Herman Broerenschool,5
5333,Herman Broerenschool,1
5334,Herman Broerenschool,1
5342,Herman Broerenschool,8
5343,Herman Broerenschool,1
5344,Herman Broerenschool,6
5345,Herman Broerenschool,7
5346,Herman Broerenschool,2
5347,Herman Broerenschool,1
5348,Herman Broerenschool,4
5349,Herman Broerenschool,2
5351,Herman Broerenschool,2
5371,Herman Broerenschool,5
5374,Herman Broerenschool,1
5375,Herman Broerenschool,1
5382,Herman Broerenschool,1
5384,Herman Broerenschool,3
5386,Herman Broerenschool,2
5388,Herman Broerenschool,1
5391,Herman Broerenschool,3
5397,Herman Broerenschool,1
5401,Herman Broerenschool,1
5403,Herman Broerenschool,3
5406,Herman Broerenschool,1
5408,Herman Broerenschool,1
5411,Herman Broerenschool,1
5461,Herman Broerenschool,4
5462,Herman Broerenschool,1
5464,Herman Broerenschool,1
5467,Herman Broerenschool,4
5472,Herman Broerenschool,1
5481,Herman Broerenschool,2
5482,Herman Broerenschool,4
6591,Herman Broerenschool,1
6624,Herman Broerenschool,3
4174,Klimop School voor BLO,1
4181,Klimop School voor BLO,3
