schoolnaam,lat,lng,hoog,adres,postcode,plaats,telnr,email,website
ATO basisschool Caleidoscoop, 51.73302, 5.32970, 32.75862069, Fluitenkruid 8, 5236 TL, Empel, 073-6427537, info@kccaleidoscoop.nl, www.kccaleidoscoop.nl
ATO basisschool De Groote Wielen, 51.73502, 5.36460, 28.57142857, Deltalaan 140, 5247 JT, Rosmalen, 073-8507710, info@basisschooldegrootewielen.nl, www.basisschooldegrootewielen.nl
ATO basisschool De Hobbit, 51.72583, 5.37132, 50.70422535, De Hoge Kamp 9, 5247 WH, Rosmalen, 073-8507720, administratie@bsdehobbit.nl, www.bsdehobbit.nl
ATO basisschool De Overlaet, 51.72242, 5.36040, 53.84615385, Terpeborch 78, 5241 KB, Rosmalen, 073-5215005, info@deoverlaet.nl, www.deoverlaet.nl
ATO basisschool De Springplank, 51.71198, 5.30716, 52.38095238, Hambakendreef 2A, 5231 RJ, 's-Hertogenbosch, 073-6412372, school@obsdespringplank.nl, www.obsdespringplank.nl
ATO basisschool De Vlieger, 51.69619, 5.34315, 36.17021277, Vincent van Goghlaan 28, 5246 GB, Hintham, 073-8225100, rickyvanginkel@kcdevlieger.nl, www.kcdevlieger.nl
ATO basisschool Het Rondeel, 51.69291, 5.32759, 26.08695652, Acaciasingel 77, 5213 VC, 's-Hertogenbosch, 073-8511333, info@hetrondeel.nl, www.hetrondeel.nl
ATO basisschool L W Beekman, 51.68735, 5.29649,75, Van der Does de Willeboissingel 14, 5211 CC, 's-Hertogenbosch, 073-6140200, info@lwbeekmanschool.nl, www.lwbeekmanschool.nl
ATO basisschool Madelief, 51.72891, 5.30249, 20.83333333, Landstrekenlaan 118-120, 5235 LD, 's-Hertogenbosch, 073-8225250, nbs_madelief@hetnet.nl, www.nbsmadelief.nl
ATO basisschool Meander, 51.73296, 5.28396, 60, Braspenninglaan 171, 5237 NS, 's-Hertogenbosch, 073-8225300, info@obsmeander.nl, www.obsmeander.nl
ATO basisschool Noorderlicht, 51.71693, 5.316238, 39.47368421, Rompert 35, 5233 EJ, 's-Hertogenbosch, 073-8511399, (naam leerkracht)@bsnoorderlicht.nl, www.bsnoorderlicht.nl
